"Reference","Value","Qty",,"Footprint","Datasheet","DNP"
"C1","10u","1",電解コンデンサ,"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~",
"C2,C4,C5,C6","0.1u","4",積層セラミックコンデンサ,"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~",
"C3","0.022u","1",積層セラミックコンデンサ,"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~",
"D1","KANA LED","1",発光ダイオード,"LED_THT:LED_D3.0mm","~",
"D2","CAPS LED","1",発光ダイオード,"LED_THT:LED_D3.0mm","~",
"J1","SBC8080 BUS","1",2x20 40P ボックスヘッダ,"Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~",
"J2","CON-A","1",2x7 14P ボックスヘッダ,"Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~",
"J3","CMT-OUT","1",ステレオジャック,"AJ-1780:AJ-1780",,
"J4","232C(DEBUG)","1",6P L型ピンヘッダ,"Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~",
"J5","ADR-JP2","1","2列x4 垂直ピンヘッダ ","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~",
"J6","ADR-JP1","1",2列x4 垂直ピンヘッダ,"Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~",
"JP1","A7_JP","1",1列x3 垂直ピンヘッダ,"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",
"R1,R2","1k","2",カーボン抵抗,"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"R3","4.7k","1",カーボン抵抗,"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"R4","47k","1",カーボン抵抗,"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"R5","100","1",カーボン抵抗,"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"R6,R7,R8,R9","10k","4",カーボン抵抗,"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"RN1","chB-PullUP","1",集合抵抗器 10k,"Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf",
"SW1","SW_SPST","1","基板実装 小型 SW ","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",
"U1","Pico","1",Raspberry Pi Pico,"RPi_Pico:RPi_Pico_SMD_TH",,
"U2","8255","1",i8255 パラレルIC,"Package_DIP:DIP-40_W15.24mm_Socket","http://aturing.umcs.maine.edu/~meadow/courses/cos335/Intel8255A.pdf",
"U3","74HC139","1",ロジックIC,"Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS139",
"U4","74HC00","1",ロジックIC,"Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74hc00",
"MH1,MH2,MH3,MH4","MountingHole","4",基板穴 ※部品ではありません,"MountingHole:MountingHole_3.2mm_M3","~",
